adaptation_auc,artifact,experiment,final_val_loss,model,parameter_count,peak_vram_mb,pure_train_tok_per_sec,sequence_accuracy,train_tok_per_sec
,,50m_head_to_head,5.336977809667587,partial_untied,8069555,2201.89697265625,38499.206131484985,,37517.13712351116
,,50m_head_to_head,5.3957759737968445,nanochat_small,8125570,3931.23583984375,41475.345286622425,,39919.828459079865
,language_recurrent_nano_tricks_fair_20260327.json,fair_short_budget_2seed,7.219859853386879,factorized_untied,11220979,2130.73583984375,,,53703.05139538637
,language_recurrent_nano_tricks_fair_20260327.json,fair_short_budget_2seed,7.12543910741806,full_untied,15024387,2439.51953125,,,50814.080170735644
,language_recurrent_nano_tricks_fair_20260327.json,fair_short_budget_2seed,7.52835887670517,gru_only,7703857,2024.87890625,,,62149.227205684874
,language_recurrent_nano_tricks_fair_20260327.json,fair_short_budget_2seed,7.328871533274651,low_rank_untied,11220979,2244.7578125,,,49003.5716154077
,language_recurrent_nano_tricks_fair_20260327.json,fair_short_budget_2seed,7.671165108680725,nanochat_small,8125570,4187.02734375,,,28821.80539327168
,language_recurrent_nano_tricks_fair_20260327.json,fair_short_budget_2seed,7.3572618663311005,partial_untied,8143795,2284.5263671875,,,50206.788676880555
,language_recurrent_nano_tricks_fair_20260327.json,fair_short_budget_2seed,7.515918612480164,recurrent_baseline,7787379,1904.52490234375,,,51334.27612039454
,language_recurrent_nano_tricks_fair_20260327.json,fair_short_budget_2seed,7.40727236866951,recurrent_champion,7995315,1968.4482421875,,,51224.30325374432
,language_nanochat_actual_compare_1p5x_moredata_20260327.json,nanochat_separate_compare_1p5x,7.2694175988435745,baseline,7787379,1904.52490234375,,,59395.376036457106
,language_nanochat_actual_compare_1p5x_moredata_20260327.json,nanochat_separate_compare_1p5x,7.3034224808216095,gru_only,7703857,1963.41357421875,,,72267.43913609834
,language_nanochat_actual_compare_1p5x_moredata_20260327.json,nanochat_separate_compare_1p5x,7.229031071066856,nanochat_small,8125570,3895.48779296875,,,35134.70060735201
,language_nanochat_actual_compare_1p5x_moredata_20260327.json,nanochat_separate_compare_1p5x,7.273692280054092,shared_projection,7745763,2023.38037109375,,,59477.178235088344
,language_nanochat_actual_compare_1p5x_moredata_20260327.json,nanochat_separate_compare_1p5x,7.26429195702076,windowed_32,7787379,2083.68798828125,,,59398.46299352767
0.37206127025462965,,fastlearn_small,,fast_gru,,,,0.004557291666666666,
0.22444661458333334,,fastlearn_small,,gpt2_like,,,,0.0,
0.37555157696759256,,fastlearn_medium,,fast_gru,,,,0.004557291666666666,
0.23714192708333334,,fastlearn_medium,,gpt2_like,,,,0.0,
0.37485532407407407,,fastlearn_large,,fast_gru,,,,0.003255208333333333,
0.2432183159722222,,fastlearn_large,,gpt2_like,,,,0.0,
